Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
09599516-1fa5-629d-b05e-ef7fd6565686,2014-09-19,,999-18-1591,,,,Samual455,Gusikowski974,,,,white,nonhispanic,M,Boston  Massachusetts  US,311 Haley Wall,Somerville,Massachusetts,Middlesex County,25017,02138,42.42661911939643,-71.09428592069801,15344.41,10157.64,58418
1ea58f61-09f3-fd8e-d378-6f7cff1bfe42,1997-12-13,,999-17-7303,S99988836,X2795398X,Ms.,Madelaine318,Gerlach374,,,,asian,nonhispanic,F,Boston  Massachusetts  US,603 McLaughlin Annex,Boston,Massachusetts,Suffolk County,25025,02210,42.32963239429996,-71.0405701690543,62197.98,304076.65,33245
6887b205-0a31-e68a-953a-03cd85aeefde,1999-05-23,,999-13-3342,S99987234,X61960647X,Ms.,Robbyn526,Breitenberg711,,,,white,nonhispanic,F,Weston  Massachusetts  US,506 Botsford Route,Fall River,Massachusetts,Bristol County,25005,02724,41.674713259722694,-71.11678169370894,11366.37,219807.80,12290
a9f14c33-7a9d-3aee-bb87-a43c8998f5ca,1951-06-30,,999-38-8757,S99911630,X47562092X,Mr.,Wilmer32,Haag279,,,M,white,nonhispanic,M,North Adams  Massachusetts  US,1078 Heller Key Unit 26,Peabody,Massachusetts,Essex County,25009,01960,42.56096142178537,-71.08748712927563,148210.43,98144.40,35749
50142c89-c69f-2117-376a-2d22a6e88916,2015-12-04,,999-37-4322,,,,Javier97,Ortiz186,,,,white,hispanic,M,Gaudalajara  Jalisco  MX,547 Kilback Flat Apt 89,Leominster,Massachusetts,Worcester County,25027,01453,42.51907038545733,-71.80020802737026,12516.21,0.00,91504
a87a2902-8ada-9623-5dd6-1f1f10fded2e,1981-02-21,,999-58-7754,S99947049,X71474848X,Mrs.,Shani239,Stracke611,,Feil794,M,white,nonhispanic,F,Saugus  Massachusetts  US,874 Rippin Bridge,Easthampton,Massachusetts,Hampshire County,25015,01027,42.32551224153072,-72.76757445484463,11510.39,725925.81,10165
bf74f149-b930-7004-3ea4-5677027f5df8,1970-04-04,2004-09-11,999-70-8883,S99994680,X10122790X,Mr.,Emery884,Baumbach677,,,M,white,nonhispanic,M,Cologne  North Rhine-Westphalia  DE,281 Davis Stravenue,Woburn,Massachusetts,Middlesex County,25017,01890,42.499904553634906,-71.16751064003458,47353.41,194435.63,97227
87b915cf-ea3d-c15b-868c-a08511686001,1966-09-24,,999-49-7665,S99972035,X22951530X,Mrs.,Le457,Hilpert278,,Hahn503,M,white,nonhispanic,F,Walpole  Massachusetts  US,707 Wilkinson Knoll,Stoughton,Massachusetts,Norfolk County,,00000,42.117513241983076,-71.08016018621304,642930.66,666908.71,39645
5d5b2bbf-cf48-6dfd-bdab-41690b11280a,2000-01-09,,999-23-7572,S99916741,X61355805X,Mr.,Rich940,Abbott774,,,,white,nonhispanic,M,Newburyport  Massachusetts  US,193 Botsford Crossing,Brookline,Massachusetts,Norfolk County,25017,02467,42.28933983569433,-71.13271820446131,73149.42,105170.70,204942
8d8daf57-4db6-3d47-d783-2ed5bae9ff2d,1970-04-04,,999-53-9061,S99923092,X82729987X,Mr.,Hershel911,Stiedemann542,,,S,white,nonhispanic,M,Munich  Bavaria  DE,284 Heidenreich Club,Woburn,Massachusetts,Middlesex County,25017,01890,42.43625426507079,-71.16279632133875,84909.97,12026.29,97227
94904f2a-8378-d09c-3323-1d24eb6d1ae7,1982-01-28,,999-20-7982,S99935653,X26874696X,Mr.,Leroy603,Lesch175,,,M,white,nonhispanic,M,Toulouse  Occitanie  FR,524 Bauch Terrace Suite 70,Fitchburg,Massachusetts,Worcester County,25027,01420,42.55023105098377,-71.83727503875865,14509.10,773166.26,23503
bee50d3d-247f-8463-d4d4-e70c343443df,1991-05-24,,999-17-5337,S99983366,X12312981X,Mr.,Gabriel934,Tirado305,,,M,white,hispanic,M,Mexico City  Mexico City  MX,619 Olson Avenue,Peabody,Massachusetts,Essex County,25009,01960,42.484726820039036,-70.93918186365931,54170.59,4238.29,43955
d38aebec-247e-e966-6506-f30a2eda62d7,1946-02-01,,999-77-3880,S99956665,X60857085X,Mr.,Jaime666,Howe413,,,M,white,nonhispanic,M,Boston  Massachusetts  US,793 Stehr Skyway,Springfield,Massachusetts,Hampden County,25013,01105,42.08845332559664,-72.52993163392607,575776.16,200646.73,66
52a6f9b5-bc0b-5fe7-4936-7e73dc65d499,1985-02-16,,999-36-3508,S99972296,X50413450X,Mrs.,Estela596,Espino352,,Bustamante966,M,white,hispanic,F,Buenos Aires  Ciudad de Buenos Aires  AR,762 Davis Spur Unit 7,Boston,Massachusetts,Suffolk County,25025,02113,42.3262231620504,-71.09787108792034,87991.94,158514.55,143831
e74f247e-2889-43b6-feae-267f6f9d526f,1990-11-18,,999-48-4782,S99926854,X82304895X,Mrs.,Christen366,Zemlak964,,Jast432,M,hawaiian,nonhispanic,F,Barnstable  Massachusetts  US,843 Mitchell Plaza,Revere,Massachusetts,Suffolk County,25025,02151,42.42528989545463,-70.96092319262506,82255.55,180599.54,63742
193755fe-9f35-ca8d-557a-2662af197b91,1967-10-05,,999-72-7438,S99978251,X40732816X,Mr.,Hilton264,McGlynn426,,,S,asian,nonhispanic,M,Methuen  Massachusetts  US,520 Larkin Common Unit 38,Lynn,Massachusetts,Essex County,25009,01902,42.49830672083639,-71.01995684788373,164354.38,0.00,96105
4b7dd3ff-1504-9d48-80e3-9da8856bbc57,1990-09-13,,999-15-8885,S99932474,X85185390X,Mr.,Hyman89,Hessel84,,,M,white,nonhispanic,M,West Springfield  Massachusetts  US,669 Nitzsche Well,New Bedford,Massachusetts,Bristol County,25005,02745,41.689176599838184,-70.9592425956481,41526.36,2863.84,133983
a796858f-ffbd-adf5-ef8c-3392fa793f83,1984-02-02,,999-40-6911,S99953080,X6604574X,Mrs.,Kali995,Medhurst46,,Fay398,M,black,nonhispanic,F,Plymouth  Massachusetts  US,848 Swaniawski Crossroad Suite 62,Boston,Massachusetts,Suffolk County,25025,02135,42.288813138187805,-71.19863836465095,748581.24,224537.80,68672
2da02cd5-8801-c360-2363-29cca82b8a34,1998-12-25,,999-60-9968,S99917492,X30260233X,Ms.,Felica690,Friesen796,,,,black,nonhispanic,F,Middleborough Center  Massachusetts  US,903 Franecki Highlands,Boston,Massachusetts,Suffolk County,25025,02129,42.375592683592245,-71.13245964397723,163799.16,0.00,35698
